title	source	publication_year	publication_month	publication_day	abstract	authors
Okoboji experiment: Comparing non-market valuation techniques in an unusually well-defined market for water quality	Ecological Economics	1989	01	01	Three techniques to value the non-market commodity of water quality are compared in a notably active and unusually well-defined market: the Okoboji Lakes region of northwest Iowa. The paper compares: (a) a site valuation based on differing property values across lakes; (b) a market valuation by soliciting realtors' interpretations of observed price differentials; and (c) a contingent valuation of willingness to pay for water quality changes. The results obtained are similar in magnitude; the value of water quality ranges from 13 to 23% of the total residence value per square foot of private residence.	Ralph C. d'Arge, Jason F. Shogren
Contents of ecological economics , vol. 1	Ecological Economics	1989	01	01		
Environmental bonds and environmental research in innovative activities	Ecological Economics	1989	01	01	"This paper considers the incentive to uncover potential future social costs of activities having no historical precedents. Since ex ante markets in the future external effects of historically unique activities are non-existent, the private incentives to uncover the possibility of ""Thalidomide-type"" results in such activities is weak. The paper discusses the value of sequentially determined environmental bonds as mechanisms for the generation of research funds in these cases, and derives measures for the calculation of such bonds."	Charles Perrings
Environmental impact assessment: theory and practice	Applied Geography	1990	01	01		
Our perceptions of phytoplankton: an historical sketch	Deep-Sea Research Part B, Oceanographic Literature Review	1990	01	01		
Winds of revolution sweep through science education	Deep-Sea Research Part B, Oceanographic Literature Review	1990	01	01		
Marine phytoplankton and global climate feedback-testing the hypothesis	Deep-Sea Research Part B, Oceanographic Literature Review	1990	01	01		
Proceedings of the 2nd international symposium on philosophy and history of analytical chemistry and their consequences	Deep-Sea Research Part B, Oceanographic Literature Review	1990	01	01		
The conditions for achieving environmentally sustainable development	European Economic Review	1990	01	01		Edward B. Barbier, Anil Markandya
Economic sustainability and the preservation of environmental assets	Environmental Management	1990	01	01	Abstract: The core requirement of sustainability is that current economic activities should not result in an excessive burden on future generations. This criterion is general enough to imply different decision rules for the preservation of environmental assets. Neoclassical economics does not have a sustainability criterion for environmental assets independent of the intertemporal efficiency criterion, which allocates environmental and man-made capital based on projected monetary benefits and costs. This criterion is examined in terms of the feasibility of valuing the benefits of environmental assets, the substitution possibilities between natural and man-made capital, and the ethical grounds for using efficiency as the sole determinant of the allocation of environmental assets. An alternative ecological sustainability criterion is the preservation of safe minimum levels of environmental assets in physical terms rather than the dollar value of a composite of natural and man-made capital. Safe minimum standards for environmental assets constrain the efficiency criterion in order to ensure the sustainability of economic systems. It is argued that the ecological approach to sustainability should limit the economic approach for decisions involving the allocation of environmental assets.	George Foy
Valuation methods and policy making in environmental economics	Ecological Economics	1990	01	01		John A. Dixon
FY 1991 research and development in the atmospheric and oceanic sciences	Deep-Sea Research Part B, Oceanographic Literature Review	1990	01	01		
Multidisciplinary look at a finite world	Deep-Sea Research Part B, Oceanographic Literature Review	1990	01	01		
Energy and environmental terms: a glossary	Applied Geography	1990	01	01		Susan Owens
Environmental and resource economics: an introduction	Applied Geography	1990	01	01		Jim Butterfield
Thinking economically about climate change	Energy Policy	1990	01	01	Uncertainty over both the regional impacts and timing of climatic changes, the way they tend to magnify the likelihood of so-called 'natural' disasters and their irreversibility, require careful analysis of policy options. From an economic standpoint, the best approach is to apply 'cost-benefit thinking'. The essential trade-off is between doing nothing now and investing in either important preventive or adaptive measures. The choices involve analysis of incurring costs now against the benefits of reducing vulnerability and future damage costs. For any given level of warming, the aim is to minimize the sum of policy costs and costs of adaptation by individuals. Any resulting policy decision will have to address issues of international cooperation and compensation. These considerations may in turn influence the resulting policy choices between 'carbon' taxes, marketable permits and regulatory restrictions.	Edward B. Barbier, David W. Pearce
Public choice and the improvement of policy instruments for environmental management	Ecological Economics	1990	01	01	Currently used policy instruments have failed to halt environmental deterioration of sensitive ecological systems, such as estuaries. On the basis of efficiency criteria, economists have made comprehensive recommendations for improving policy instruments. The general rejection of efficiency-based policy instruments indicates the need for a broader set of criteria for improving environmental management. This paper suggests a public choice approach to environmental management, under which the design of more effective policy instruments would be based not only upon economic efficiency but also upon scientific validity (including ecological sustainability), distributional equity, and interest group acceptability. Examples are given for the Chesapeake Bay.	John H. Cumberland
Entropy, environment and resources: An essay in physio-economics	Ecological Economics	1990	01	01		Martin O'Connor
Alternative approaches to economic-environmental interactions	Ecological Economics	1990	01	01	The key questions raised by recent developments in resource and environmental economics have been what useful economic functions does the environment provide and how are these functions affected by the process of economic-environmental interaction? This paper distinguishes between two different formal approaches to answering these questions: the more conventional approach which is concerned with the optimal allocation of economically valuable exhaustible resources and an alternative analysis that considers the trade-off between, on the one hand, environmental quality, and on the other, resource depletion and waste generation by the economic process. To illustrate and extend the latter approach, a model is constructed to show how this trade-off might lead to continuously declining environmental quality and a future ecological constraint. Society must therefore optimally allocate output between consumption and services to improve the environment and choose between increased capital accumulation and environmental degradation. Although strict application of such a model may be limited, it has wider implications for the role of technological change and the value of the environment in any system experiencing deteriorating environmental quality	Edward B. Barbier
Defining the common ground	Nature	1991	01	01		Michael B. Usher
Economics of sustainability or the sustainability of economics: Different paradigms	Ecological Economics	1991	01	01	This article reviews different views of neo-classical and ecological economics on the sustainability of economic growth and welfare. Neo-classical economics concludes that, due to substitution and technical progress, consumption can be sustained even if production depends on a natural resource that is being depleted. If production depends on an essential, renewable resource, there is a level of consumption that can be sustained forever. Pollution lowers the level of consumption that can be sustained. If production depends on an exhaustible resource, recycling of waste is insufficient for sustaining consumption unless 100% recycling is possible. Sustainable economic development is possible if the resource growth potential exceeds the sum of the discount rate minus the rate of exogenous technical progress and if resource productivity is sufficiently high. In addition, intial levels of environmental quality (a composite of pollution and natural resources) and man-made capital influence the possibilities for sustainable economic development. If the resource stock itself affects utility, or if irreversibilities occur, optimal consumption and extraction are lowered. Ecological economics states that: substitution possibilities are restricted, full recycling of waste is impossible, and the limited influx of solar energy poses an additional constraint on the level of production that can be sustained. Since the functions of the environment (production factor, consumer good and waste sink) are intertwined, this life support function poses a restriction on economic growth as well. In ecological economics development is viewed as an evolutionary process with continuous feedbacks between a changing economy and environment. Welfare is not merely the sum of discounted individual preferences but requires environmental compatibility and the explicit (collective) formulation of policies regarding the conservation of species, ecosystems and natural resources.	Ger A.J. Klaassen, Johannes B. Opschoor
The raison d'être of ERE	Environmental and Resource Economics	1991	01	01		J. B. Opschoor, H. M. A. Jansen
Economics of natural resources and the environment.	Ecological Economics	1991	01	01		John L.R. Proops
Entropy, structure, and organisational change	Ecological Economics	1991	01	01	"The paper sets out a basis for rigorous thermodynamic characterisation of structural change and of organisational interdependencies between economic and environmental processes. Many attempts have been made to exploit entropy as a generic explanatory variable. It has widely been proposed that entropy is a measure of the level of (dis)order of a system, of how 'mixed up' things are. Then, as organisation is often thought synonymous with some notion of 'order', it has been a small step to propose that 'increasing organisation' is the converse of 'increasing entropy'. Another suggestion has been that social system structure and change can be explained in terms of a tendency towards maximum entropy production (the Lotka Principle of maximum energy dissipation). All these notions must be rejected. The putative entropy-order connection has its inspiration in Boltzmann's probabilistic interpretation of thermodynamic entropy as a measure of microscopic 'disorder'. This 'order principle' is simply not applicable under conditions ""far from thermodynamic equilibrium"" (Prigogine), conditions which prevail for all important economic and ecological processes. Under such conditions the relationship between entropy production and changes in structure or organisation is multi-faceted and situation-specific. Attempts to account for the specificity of societal activities in terms of a generic scalar measure of organisation or dissipation, are largely after-the fact, and in no way do away with the need for analysis of institutional and ethical dimensions of human action in their own right. When properly allied to institutional analysis, however, the far-from-equilibrium thermodynamics furnishes a rich impetus for a 'coevolutionary' perspective in ecological economics, with promise of incisive treatments of, in particular, issues of system-environment codependency and of the time-in- determinacies of economy-environmental change."	Martin O'Connor
Microbes at work	Nature	1991	01	01		W. Bernard Betts
The Economics of Conservation	Conservation Biology	1991	01	01		DAVID W. ORR
Bioeconomics and post Keynesian economics: a search for common ground	Ecological Economics	1991	01	01	This paper is concerned with the links between two schools of economic thought which challenge the neoclassical synthesis. Bioeconomics refers to that school of economics stressing the fact that the human species is a part of the larger biosystem of the planet and ultimately subject to the same laws and limitations as other life forms. Post Keynesian economics is a specific school of macroeconomics stressing the fundamental ideas of Keynes, Marx, and Kalecki concerning uncertainty, the nature of production, and the role of government in economic affairs. Bioeconomics and post Keynesian economics have much in common in terms of their methodological framework, their emphasis on production rather than exchange, and their interpretation of the social rate of discount. A potential area of conflict between the two schools is their attitude toward economic growth. The areas of commonality between the two schools are discussed and a research and policy program which combines the insights of both approaches is suggested.	John M. Gowdy
Economics and biological diversity: Developing and using economic incen tives to conserve biological resources	Ecological Economics	1991	01	01		Edward B. Barbier
Newsletter	Environmental and Resource Economics	1991	01	01		
ECONOMIC GROWTH, SUSTAINABILITY, AND THE ENVIRONMENT	Contemporary Economic Policy	1991	01	01		RALPH C. d'ARGE, RICHARD B. NORGAARD, MANCUR OLSON JR., RICHARD SOMERVILLE
An idiosyncratic assessment of the role of mathematical models in environmental sciences	Environment International	1991	01	01	This paper summarizes a number of studies in two disciplines of particular interest to environmental scientists and managers: academic ecology and academic economics. These studies suggest that too often in the past we have been extremely cavalier in our acceptance and use of some theoretical mathematical models purporting great importance and generality. Of particular concern is that on a number of occasions, data have been presented as substantiation of certain theoretical models while in fact, on closer examination, they are not. In many cases, the use of these formulations have led to unnecessary environmental destruction and illogical economic decisions. I conclude that, although there are many good reasons to continue to formalize our knowledge about systems through explicit model development, we must not continue to confuse mathematical rigor with scientific rigor, and we must subject our theoretical formulations to more rigid tests vis-a-vis nature than we have in the past.	Charles A.S. Hall
Environmental management in development: the evolution of paradigms	Ecological Economics	1991	01	01	Environmental management and its relationship to human development are in a period of dramatic change. Societies are now beginning to have serious discussions about 'sustainable development', but there is still a great deal of confusion over what this means and how to achieve it. Conceptions of what is economically and technologically practical, ecologically necessary, and politically feasible are rapidly shifting. Implicit in changing strategies are differing philosophies of human-nature relationships. Five fundamental paradigms of environmental management in development, of human-nature relationships, are described. From the primordial dichotomy of 'frontier economics' versus 'deep ecology', paradigms of 'environmental protection', 'resource management', and 'eco-development' are evolving, in a progression which involves increasing integration of economic, ecological, and social systems into the definition of development and the organization of human societies. Each perceives different evidence, imperatives, and problems, and prescribes different solutions, strategies, technologies, roles for economic sectors, culture, governments, and ethics, etc. Each actually encompasses several schools of thought, not always in complete agreement, and there are also areas of overlap. The paper explores the distinctions, connections, and implications of these five paradigms for the future of environmental management in development.	Michael E. Colby
Economics Issues in Organic Agriculture	Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie	1991	01	01		John Henning, Laurie Baker, Paul Thomassin
Ecological economics: A research agenda	Structural Change and Economic Dynamics	1991	01	01	Ecological economics is a new transdisciplinary approach that looks at the full range of inter-relationships between ecological and economic systems. This breadth is essential if we are to understand and manage our planet wisely in the face of mounting interdependent global environmental, population, and economic development problems. This paper summarizes the state and goals of this emerging transdisciplinary field, particularly as regards issues of sustainability, and provides a working agenda for research. Assuring sustainability of ecological economic systems depends on our ability to make local and short-term goals and incentives (like local economic growth and private interests) consistent with global and long-term goals (like sustainability and global welfare). This requires: (1) establishing a hierarchy of goals for local, national, and global ecological economic planning and management; (2) developing better regional and global ecological economic modelling capabilities to allow us to see the range of possible outcomes of our current activities; (3) adjusting prices and other local incentives to reflect long run, global ecological costs, including uncertainty; and (4) developing policies that lead to no further decline in the stock of natural capital.	Robert Costanza
Ecological sustainability and environmental control	Structural Change and Economic Dynamics	1991	01	01	The concept of ecological sustainability requires that at least some stocks of environmental assets be prevented from rising above or falling below certain threshold levels. This paper considers the implications of this requirement in the context of a general model of environmental control, paying particular attention to the informational and structural conditions that are necessary and sufficient to satisfy the requirement. These conditions turn out to be particularly stringent, and will not ordinarily be satisfied. The paper then considers the scope for achieving the goal of ecological sustainability when the system is not controllable through economic incentives, implying that prices are inadequate observers of environmental processes. It argues the merits of a policy of environmental stabilization based on direct observation of the physical system, in which ecological sustainability is assured through the imposition of physical restrictions on economic activity so as to avoid breaching the critical thresholds. Since the price assumptions of the model are very weak, the results are robust with respect to a range of economic theories of price.	Charles Perrings
Sustain ability: Three Methodological Suggestions for Agricultural Economics	Canadian Journal of Agricultural Economics/Revue canadienne d'agroeconomie	1991	01	01		Richard B. Norgaard
Valuing environmental resources under alternative management regimes	Ecological Economics	1991	01	01	This paper shows that the economic values of resources depend in part on the management regime. The value of a resource supporting a commercial fishery will depend on whether the fishery is optimally managed or open access. The Ellis-Fisher (1987) data are used to calculate values under alternative assumptions about management. These calculations show that value is influenced not only by biological and economic factors, but also by institutions.	A.Myrick Freeman,  III
Environmental reform in Poland: Theories meet reality	European Environment	1991	01	01		Tomas Zylicz
Environment and development	Ecological Economics	1991	01	01		John H. Cumberland
BLUEPRINT 2: Greening the world economy	Energy Policy	1992	01	01		Jim Skea
Sustainability as intergenerational equity: Economic theory and environmental planning	Environmental Impact Assessment Review	1992	01	01		Richard B. Norgaard
Newsletter	Environmental and Resource Economics	1992	01	01		
Regulating the electricity supply industry by valuing environmental effects	Futures	1992	01	01	All approaches to the comparison of disparate environmental effects suffer in common from several intractable problems. Difficulties are posed by the obscurity, complexity, uncertainty and unquantifiability of many effects. Incommensurate indices and discrepant frames of reference exacerbate the analyst's predicament. Although increasingly influential, the monetary valuation literature tends to neglect these problems. Important recent valuation studies are found to be partial in scope, mutually inconsistent and misleadingly presented. The theoretical framework of valuation is itself argued to be profoundly flawed, being unidimensional, sociocentric and opaque in character. It is concluded that there exist preferable and more effective analytical options.	Andrew Stirling
Ecological economics: The science and management of sustainability	Trends in Ecology & Evolution	1992	01	01		Norman Myers
Towards an ecological economics of sustainability	Ecological Economics	1992	01	01	Persistent disagreement both as to the interpretation to be given to sustainability, and as to the relation between ecological and economic sustainability, has hindered the development of an ecological economics of sustainable resource use. This paper identifies the main concepts of sustainability deriving from the two disciplines in order to explore the difference implied by an ecological approach to the problem. It is argued that present economic and ecological approaches are largely disjoint, and that they address basically different phenomena. By combining the efficiency requirements of what is usually thought of as economic sustainability with the stability requirements of an ecological approach, it is shown that an intertemporally efficient allocation of resources that satisfies the conditions for constant levels of consumption is not necessary to assure ecological sustainability. Ecological sustainability requires that the allocation of economic resources should not result in the instability of the economy-environment system as a whole.	Mick Common, Charles Perrings
Profits from violating controls on the use of a polluting input	Environmental and Resource Economics	1992	01	01	Abstract: Profits from violating the quota, charge and permit market systems are compared. The results indicate that, for a given permit price, the violation profits of the charge and permit market systems are the same and exceed the profits from violating a quota system if the optimal use of inputs in a compliant market is lower than the quota. It is also shown that, under a permit market system, the occurrence of violation decreases the equilibrium price of permits. This implies that the profits from violating a permit market are lower than violation profits of a charge system.	Ing-Marie Andréasson-Gren
Redressing the balance	Nature	1992	01	01		Michael Rowan-Robinson
New Flora of the British Isles	Trends in Ecology & Evolution	1992	01	01		
British plant communities, vol. 2: Mires and heaths	Trends in Ecology & Evolution	1992	01	01		M. Crawley
Economics and ecology: a comparison of experimental methodologies and philosophies	Ecological Economics	1992	01	01	"Views of the proper role of experiments in (environmental) economics and ecology have developed quite differently. Economics has devoted the majority of effort to abstract theory, with experimentation coming in a distant second. Kagel quotes a colleague who illustrates a common perception among economists: ""I am a 'true believer' in microeconomic theory, and as a result I am perfectly willing to accept mathematical proofs without experimental evidence"". In contrast, ecology has focused on observation-based experiments as the primary mechanism of research, almost separate from the development of abstract theoretical ecology. Kareiva notes that ""sad truth is that ecological theory exists largely in a world of its own, unnoticed by mainstream ecology"". We explore why this divergence has developed and persisted. The main reason is that economists and ecologists differ in their assumptions regarding the objective function of a model. Economists generally assume the objective function is well-defined, ecologists view the function as unknown. We higlight recent research in environmental economics to illustrate the economist's approach to experimentation."	Jason F. Shogren, Clifford Nowell
Economy and ecology: Towards sustainable development	Ecological Economics	1992	01	01		R.K. Turner
Ecological economics and scientific controversies. Lessons from some recent policy making in the EEC	Ecological Economics	1992	01	01	Contrasting the very limited scientific evidence on the forest dieback issue with the sudden adoption of policies on air pollution decided in the FRG (1983-1984) and extended to the European Community (1985), we propose an interpretative framework for the real internalization process at work in what was tantamount to a social crisis for public opinion, the media and political actors. We conclude that open scientific controversies on some environmental issues (effects, causes, solutions) pave the way for some actors to use the issue for their own techno-industrial strategies quite alien to ecological constraints. In cases of very high uncertainties on impacts, it becomes impossible to apply conventional social cost-benefit analysis (SCBA) as an optimizing tool. We propose to develop economic analysis as a negotiation language and to give pride of place to the value of learning time and to the crucial role of technological pluralism as a condition for flexibility in the future.	Jean-Charles Hourcade, Jean-Michel Salles, Daniel Théry
Are there environmental limits to cost benefit analysis?	Environmental and Resource Economics	1992	01	01	Abstract: This paper considers the problem areas found in applying cost-benefit analysis (CBA) to projects involving environmental costs or benefits. This is particularly relevant given recent moves by the UK government to include environmental valuations in CBA exercises, and in other related appraisal activities, following the publication of the Pearce Report. The paper argues that a major problem lies in placing monetary values on non-market goods. The paper also addresses the problems of (i) differences between citizen and consumer values; (ii) complexity of ecosystems; (iii) irreversibility and uniqueness; and (iv) intergenerational equity and discounting. The extent to which CBA is an institution open to capture is also discussed.	Nick Hanley
Publications received	Energy Policy	1992	01	01		
Ecological economics of the Swedish Baltic Empire: An essay on energy and power, 1560-1720	Ecological Economics	1992	01	01	Sweden rose from relative obscurity to become the most powerful nation in northern Europe during the period 1560-1720 based on its prosperous metal industry - silver, copper and steel. The following essay addresses this period of history from an energy perspective and suggests, as others have, that the surplus energy of a nation is its basis for power. Sweden's energy came mainly from its forests which supplied its mines with wood and its metal-works with charcoal. This energy system, including hydropower, animal and man power, is analyzed using one of the thousands of charcoal-burners as a model for the main energy input - charcoal. The principles of sustainable use of Swedish forests are also addressed in an historical perspective.	Ulf Sundberg
Mutual aid	Nature	1992	01	01		Timothy O'Riordan
Uncertainty, sustainability and change	Global Environmental Change	1992	01	01	This article offers an exploration of connections between sustainability, risk and uncertainty. Global environmental change and human sustainability are characterized as the challenge of managing change in dynamic systems riddled with uncertainty. A number of disciplines and intellectual traditions, including systems thinking, risk and ecology, are surveyed briefly as sources to inform an approach to this challenge. Approaches to managing risk and uncertainty are discussed, a typology of resilience constructed, and an approach to sustainability defined. The discussion is based on the three imperatives of constant change, everpresent uncertainty and ignorance, and an increasingly stressed interdependency between humans and the biosphere.	Stephen R. Dovers, John W. Handmer
Contents of ecological economics , vol. 5	Ecological Economics	1992	01	01		
Contents of ecological economics, vol. 6	Ecological Economics	1992	01	01		
Comparison of alternative nonmarket valuation methods for an economic assessment of a public program	Ecological Economics	1992	01	01	This paper contributes to the discussion of the problem of integrating ecological and economic costs of public programs for mosquito abatement. The study illustrates the economic optimum level that could equate marginal cost to marginal benefit. The case study of a Texas gulf coast county demonstrates that the current largely chemical control program has an estimated benefit cost ratio of about 1.9 whether based on the expenditure function approach or the contingent valuation method. Costs of short- and long-run damages to public health and the environment have not been estimated. However, residents would be willing to pay nearly double the current program cost for ecologically sensitive control measures as they are developed.	Kun H. John, Richard G. Walsh, Chester G. Moore
Neoclassical and institutional approaches to development and the environment	Ecological Economics	1992	01	01	Institutional economics is suggested as a more fruitful approach to environmental problems than the now dominant neoclassical paradigm. The historical background of institutionalism in the United States and Europe is given, as well as the main characteristics of this approach, i.e. holism, emphasis on institutional arrangements, pattern modelling, and emphasis on the political element of economics. Differences between neoclassical and institutional economics are elaborated with respect to the concept of economics (reductionist versus holistic), the approach to decision making (aggregated versus highly disaggregated), and the view of social and institutional change (public choice versus actor-network approach).	Peter Söderbaum
War of the worlds	Nature	1992	01	01		H. J. Melosh
Introduction to this special issue on the May 1990 ISEE conference	Ecological Economics	1992	01	01		R. Costanza
"Capital theory and the measurement of sustainable development: an indicator of ""weak"" sustainability"	Ecological Economics	1993	01	01	"The measurement of sustainable development is not without considerable difficulties, yet this should not detract from the positive advances that can be made in this direction. In this paper we present one form that a ""weak"" sustainability indicator can take. Derived from a simple but intuitive savings rule, it incorporates the idea that the level of overall capital stock should be non-decreasing. Although subject to qualification at this stage, some interesting results emerge from the application of the rule to 18 countries."	David W. Pearce, Giles D. Atkinson
Information, production and utility	Energy Policy	1993	01	01	Economic systems interact with their environment through material and energy use in production and consumption processes and release of waste products. In this paper, we extend the physical perspective to economic processes and treat production and consumption in analogous ways. This analogous treatment is achieved by focusing on information used to describe the change of state of materials, the complexity of the transformation process, and the connection between economic processes and environmental change. The physical model of production presented here provides a quantitative framework for exploring the role of technological change in an economic system that is treated explicitly as part of the ecosystem.	Matthias Ruth, Clark W. Bullard
Ecological economics, the science and management of sustainability	Journal of Rural Studies	1993	01	01		J.B. (Hans)Opschoor
Spring fever - the changing World of Britain's Flora and Fauna	Journal of Rural Studies	1993	01	01		Keith Barber
Introduction to environmental management. Developments in environmental modelling 18	Ecological Economics	1993	01	01		Ing-Marie Gren
Intertemporal valuation in an unpredictable environment	Ecological Economics	1993	01	01	The inherent unpredictability of ecological systems is a vital feature for the development of theories at the interface between economics and ecology. Such unpredictability is caused by instabilities that are intrinsic parts of ecosystem function, succession and evolution. The complexity of ecological dynamics undermines the simple probabilistic treatment of uncertainty based on the equilibrium paradigm, common in traditional environmental economics. We investigate an important alternative by representing the dynamics of the biogeophysical system as an infinite sequence of instabilities. This leads to a stochastic process exhibiting an exponentially growing variance. Our analysis is carried out in a macroeconomic setting in a situation where the value system, here formalized in terms of risk-averse social welfare functions, contains at least two distinct aspects: consumption rate and the state of the environment. The central variables for intertemporal valuation, i.e. the time-dependent expected values of the two welfare function components, are calculated using the probability distribution describing the environmental dynamics. One result is that if the unpredictability of the environmental dynamics is taken into account, then the social discount rate for environmental existence values may well be negative.	Friedhelm R. Drepper, Bengt Å. Månsson
The economics of environmental conservation: Economics for environmental and ecological management	Biological Conservation	1993	01	01		Timothy O'Riordan
Introduction to Environmental Management	Science of the Total Environment	1993	01	01		
Ecological Physical Chemistry	Science of the Total Environment	1993	01	01		
Homeward bound	Biological Conservation	1993	01	01		Mark Avery
Species conservation: A population-biological approach	Biological Conservation	1993	01	01		Eric Duffey
New books	Science of the Total Environment	1993	01	01		
Economics of the environment: Theory and policy	Ecological Economics	1993	01	01		Jeroen C.J.M. van den Bergh
Conservation of biodiversity for sustainable development	Ecological Economics	1993	01	01		Risa H. Rosenberg
Sustainable development: Some interpretations and applications in the context of Indian agriculture	Structural Change and Economic Dynamics	1993	01	01	The problems of achieving sustainable development are explored in the context of Indian agriculture. The Green Revolution led to rising living standards, but unanticipated externalities caused a degradation of land resources. For non-green revolution areas, alternative sources of unsustainable development are identified. The inadequacy of standard analytical approaches to the issues of growth is considered, and the conclusion drawn that both ecological and social-political systems must evolve together to create an environment in which policies can successfully increase current living standards whilst protecting future production possibilities.	Kanchan Chopra
Sustainable development: An institutional approach	Ecological Economics	1993	01	01	"Our Common Future documented that the prevailing patterns of economic growth are ecologically not viable. A new economic policy is likely to be needed. This new policy might not be compatible with predominent (neoclassical) economic views. The notion of ""sustainable development"" will have to be adequately incorporated into economic theory with repercussions for, among other things, (i) the treatment of natural resources as factors of production as well as welfare determinants, (ii) valuation theory, (iii) the evaluation of market forces. The Dutch abatement policy regarding acid rain is analysed in this respect. It proved that the Dutch government gave more attention to the growth of industrial production, including the polluting ones, than to sound protection of the environment. It is argued that the integration of natural resources into the framework of economic theory is a prerequisite for environmental policy."	Hans Opschoor, Jan van der Straaten
Author index	Ecological Economics	1993	01	01		
Blueprint for a green economy	Ecological Economics	1993	01	01		Robert K. Kaufmann
Newsletter	Environmental and Resource Economics	1993	01	01		
Alternative nitrogen reduction policies in the Mälar region, Sweden	Ecological Economics	1993	01	01	The load of nitrogen to the Stockholm archipelago from the Mälar region, a drainage basin located on the east coast of Sweden, must be reduced in order to decrease eutrophication. Costs for two alternative nitrogen policies are estimated: (i) current policy defined as total costs for reducing the nitrogen emission at each source by 50%, and (ii) an alternative policy defined as the minimum cost for reducing the load of nitrogen to the Stockholm archipelago by 50%. Results demonstrate that the cost of the first alternative greatly exceeds the cost for the second alternative. One important reason is that in the second alternative the functioning of the Mälar lake ecosystem as a nitrogen sink is accounted for, which implies cost savings since less man-made reduction is required at the emission sources. Another factor is the identification of a new ecological technology-restoration of wetlands-a low cost measure for reducing the load of nitrogen.	Ing-Marie Gren
Robert Costanza, ed. Ecological Economics the Science and Management of Sustainability. Columbia University Press, 1991, xiv + 525 pp., paper $18.50 ISBN 0-231-07563-4	American Journal of Agricultural Economics	1993	01	01		Burton C. English
Natural resources, growth and development	Ecological Economics	1993	01	01		David Pearce
